Step,Res50+DiffuseMix - Valid/Top-5 Accuracy,Res50+Gen+Con - Valid/Top-5 Accuracy,Res50+Gen - Valid/Top-5 Accuracy,Res50 - Valid/Top-5 Accuracy
0,0.227383863080685,0.185819070904646,0.127139364303178,0.288508557457213
1,0.381418092909535,0.257946210268949,0.234718826405868,0.39119804400978
2,0.592909535452323,0.414425427872861,0.317848410757946,0.441320293398533
3,0.696821515892421,0.573349633251834,0.414425427872861,0.518337408312958
4,0.731051344743276,0.71760391198044,0.47799511002445,0.555012224938875
5,0.803178484107579,0.767726161369193,0.523227383863081,0.636919315403423
6,0.812958435207824,0.793398533007335,0.639364303178484,0.638141809290953
7,0.841075794621027,0.825183374083129,0.65281173594132,0.696821515892421
8,0.806845965770171,0.806845965770171,0.711491442542787,0.705378973105134
9,0.866748166259169,0.78239608801956,0.78361858190709,0.704156479217604
10,0.860635696821516,0.841075794621027,0.801955990220049,0.756723716381418
11,0.863080684596577,0.823960880195599,0.771393643031785,0.78361858190709
12,0.874083129584352,0.852078239608802,0.778728606356968,0.792176039119804
13,0.886308068459658,0.831295843520782,0.762836185819071,0.797066014669927
14,0.897310513447433,0.837408312958435,0.828850855745721,0.810513447432763
15,0.89242053789731,0.864303178484107,0.820293398533007,0.817848410757946
16,0.894865525672372,0.883863080684597,0.798288508557457,0.789731051344743
17,0.904645476772616,0.853300733496332,0.772616136919315,0.819070904645477
18,0.885085574572127,0.887530562347188,0.833740831295843,0.852078239608802
19,0.896088019559902,0.894865525672372,0.844743276283618,0.811735941320293
20,0.883863080684597,0.889975550122249,0.806845965770171,0.834963325183374
21,0.888753056234719,0.89242053789731,0.855745721271394,0.80440097799511
22,0.893643031784841,0.909535452322738,0.784841075794621,0.823960880195599
23,0.914425427872861,0.889975550122249,0.841075794621027,0.821515892420538
24,0.91320293398533,0.880195599022005,0.888753056234719,0.822738386308068
25,0.904645476772616,0.897310513447433,0.886308068459658,0.854523227383863
26,0.911980440097799,0.882640586797066,0.875305623471883,0.86919315403423
27,0.903422982885086,0.896088019559902,0.880195599022005,0.871638141809291
28,0.91320293398533,0.89119804400978,0.878973105134474,0.856968215158924
29,0.905867970660147,0.898533007334963,0.887530562347188,0.898533007334963
30,0.915647921760391,0.898533007334963,0.89119804400978,0.871638141809291
31,0.909535452322738,0.908312958435208,0.882640586797066,0.888753056234719
32,0.907090464547677,0.911980440097799,0.874083129584352,0.880195599022005
33,0.896088019559902,0.918092909535452,0.902200488997555,0.86919315403423
34,0.91320293398533,0.89242053789731,0.903422982885086,0.867970660146699
35,0.910757946210269,0.904645476772616,0.878973105134474,0.860635696821516
36,0.915647921760391,0.916870415647922,0.887530562347188,0.881418092909535
37,0.911980440097799,0.930317848410758,0.885085574572127,0.877750611246944
38,0.905867970660147,0.924205378973105,0.881418092909535,0.882640586797066
39,0.900977995110024,0.922982885085574,0.887530562347188,0.903422982885086
40,0.905867970660147,0.910757946210269,0.893643031784841,0.904645476772616
41,0.905867970660147,0.907090464547677,0.880195599022005,0.897310513447433
42,0.905867970660147,0.911980440097799,0.89119804400978,0.907090464547677
43,0.905867970660147,0.911980440097799,0.881418092909535,0.897310513447433
44,0.915647921760391,0.898533007334963,0.878973105134474,0.900977995110024
45,0.922982885085574,0.914425427872861,0.87041564792176,0.886308068459658
46,0.918092909535452,0.915647921760391,0.903422982885086,0.878973105134474
47,0.919315403422983,0.908312958435208,0.89242053789731,0.89242053789731
48,0.921760391198044,0.922982885085574,0.900977995110024,0.899755501222494
49,0.914425427872861,0.911980440097799,0.904645476772616,0.880195599022005
50,0.914425427872861,0.918092909535452,0.910757946210269,0.888753056234719
51,0.911980440097799,0.91320293398533,0.888753056234719,0.875305623471883
52,0.909535452322738,0.916870415647922,0.905867970660147,0.883863080684597
53,0.916870415647922,0.904645476772616,0.905867970660147,0.904645476772616
54,0.916870415647922,0.908312958435208,0.897310513447433,0.904645476772616
55,0.922982885085574,0.916870415647922,0.887530562347188,0.911980440097799
56,0.916870415647922,0.91320293398533,0.896088019559902,0.894865525672372
57,0.910757946210269,0.915647921760391,0.899755501222494,0.889975550122249
58,0.919315403422983,0.910757946210269,0.881418092909535,0.905867970660147
59,0.910757946210269,0.910757946210269,0.909535452322738,0.908312958435208
60,0.918092909535452,0.921760391198044,0.899755501222494,0.916870415647922
61,0.909535452322738,0.914425427872861,0.893643031784841,0.922982885085574
62,0.915647921760391,0.908312958435208,0.898533007334963,0.914425427872861
63,0.916870415647922,0.910757946210269,0.903422982885086,0.899755501222494
64,0.911980440097799,0.926650366748166,0.898533007334963,0.907090464547677
65,0.919315403422983,0.924205378973105,0.887530562347188,0.89242053789731
66,0.919315403422983,0.914425427872861,0.900977995110024,0.911980440097799
67,0.924205378973105,0.922982885085574,0.900977995110024,0.911980440097799
68,0.919315403422983,0.920537897310514,0.897310513447433,0.904645476772616
69,0.916870415647922,0.921760391198044,0.898533007334963,0.903422982885086
70,0.921760391198044,0.920537897310514,0.89119804400978,0.908312958435208
71,0.918092909535452,0.922982885085574,0.900977995110024,0.918092909535452
72,0.916870415647922,0.918092909535452,0.89242053789731,0.916870415647922
73,0.909535452322738,0.918092909535452,0.888753056234719,0.907090464547677
74,0.909535452322738,0.920537897310514,0.898533007334963,0.910757946210269
75,0.908312958435208,0.911980440097799,0.908312958435208,0.909535452322738
76,0.915647921760391,0.909535452322738,0.897310513447433,0.915647921760391
77,0.914425427872861,0.915647921760391,0.902200488997555,0.915647921760391
78,0.911980440097799,0.908312958435208,0.894865525672372,0.887530562347188
79,0.918092909535452,0.910757946210269,0.893643031784841,0.91320293398533
80,0.918092909535452,0.911980440097799,0.888753056234719,0.894865525672372
81,0.920537897310514,0.91320293398533,0.904645476772616,0.918092909535452
82,0.919315403422983,0.904645476772616,0.899755501222494,0.897310513447433
83,0.914425427872861,0.900977995110024,0.910757946210269,0.900977995110024
84,0.915647921760391,0.914425427872861,0.899755501222494,0.899755501222494
85,0.916870415647922,0.905867970660147,0.894865525672372,0.910757946210269
86,0.910757946210269,0.910757946210269,0.911980440097799,0.899755501222494
87,0.915647921760391,0.900977995110024,0.896088019559902,0.900977995110024
88,0.914425427872861,0.909535452322738,0.893643031784841,0.909535452322738
89,0.919315403422983,0.914425427872861,0.889975550122249,0.907090464547677
90,0.914425427872861,0.91320293398533,0.900977995110024,0.902200488997555
91,0.918092909535452,0.905867970660147,0.888753056234719,0.909535452322738
92,0.916870415647922,0.91320293398533,0.903422982885086,0.911980440097799
93,0.915647921760391,0.910757946210269,0.899755501222494,0.911980440097799
94,0.921760391198044,0.907090464547677,0.897310513447433,0.91320293398533
95,0.919315403422983,0.914425427872861,0.903422982885086,0.920537897310514
96,0.919315403422983,0.916870415647922,0.887530562347188,0.908312958435208
97,0.911980440097799,0.920537897310514,0.889975550122249,0.899755501222494
98,0.919315403422983,0.918092909535452,0.882640586797066,0.900977995110024
99,0.91320293398533,0.915647921760391,0.899755501222494,0.91320293398533
100,0.910757946210269,0.915647921760391,0.903422982885086,0.922982885085574
101,0.916870415647922,0.911980440097799,0.903422982885086,0.902200488997555
102,0.921760391198044,0.918092909535452,0.909535452322738,0.915647921760391
103,0.908312958435208,0.91320293398533,0.889975550122249,0.911980440097799
104,0.919315403422983,0.918092909535452,0.909535452322738,0.909535452322738
105,0.920537897310514,0.918092909535452,0.911980440097799,0.911980440097799
106,0.919315403422983,0.919315403422983,0.905867970660147,0.904645476772616
107,0.903422982885086,0.920537897310514,0.911980440097799,0.911980440097799
108,0.922982885085574,0.919315403422983,0.909535452322738,0.908312958435208
109,0.91320293398533,0.911980440097799,0.914425427872861,0.910757946210269
110,0.914425427872861,0.919315403422983,0.905867970660147,0.910757946210269
111,0.918092909535452,0.924205378973105,0.904645476772616,0.911980440097799
112,0.91320293398533,0.915647921760391,0.893643031784841,0.909535452322738
113,0.911980440097799,0.916870415647922,0.904645476772616,0.908312958435208
114,0.916870415647922,0.924205378973105,0.909535452322738,0.903422982885086
115,0.91320293398533,0.925427872860636,0.89119804400978,0.910757946210269
116,0.920537897310514,0.919315403422983,0.896088019559902,0.903422982885086
117,0.916870415647922,0.918092909535452,0.903422982885086,0.915647921760391
118,0.916870415647922,0.910757946210269,0.900977995110024,0.910757946210269
119,0.914425427872861,0.916870415647922,0.907090464547677,0.91320293398533
120,0.91320293398533,0.915647921760391,0.908312958435208,0.916870415647922
121,0.916870415647922,0.91320293398533,0.904645476772616,0.914425427872861
122,0.915647921760391,0.919315403422983,0.900977995110024,0.916870415647922
123,0.911980440097799,0.910757946210269,0.900977995110024,0.910757946210269
124,0.914425427872861,0.918092909535452,0.904645476772616,0.914425427872861
125,0.916870415647922,0.911980440097799,0.909535452322738,0.910757946210269
126,0.91320293398533,0.925427872860636,0.908312958435208,0.91320293398533
127,0.916870415647922,0.910757946210269,0.907090464547677,0.904645476772616
128,0.914425427872861,0.915647921760391,0.907090464547677,0.915647921760391
129,0.911980440097799,0.920537897310514,0.907090464547677,0.916870415647922
130,0.911980440097799,0.91320293398533,0.91320293398533,0.914425427872861
131,0.918092909535452,0.919315403422983,0.896088019559902,0.915647921760391
132,0.908312958435208,0.91320293398533,0.91320293398533,0.914425427872861
133,0.920537897310514,0.919315403422983,0.909535452322738,0.916870415647922
134,0.916870415647922,0.920537897310514,0.91320293398533,0.919315403422983
135,0.920537897310514,0.916870415647922,0.914425427872861,0.915647921760391
136,0.915647921760391,0.925427872860636,0.915647921760391,0.915647921760391
137,0.91320293398533,0.915647921760391,0.916870415647922,0.909535452322738
138,0.915647921760391,0.918092909535452,0.91320293398533,0.920537897310514
139,0.918092909535452,0.920537897310514,0.911980440097799,0.907090464547677
140,0.910757946210269,0.91320293398533,0.910757946210269,0.919315403422983
141,0.909535452322738,0.908312958435208,0.905867970660147,0.915647921760391
142,0.910757946210269,0.909535452322738,0.910757946210269,0.922982885085574
143,0.91320293398533,0.919315403422983,0.909535452322738,0.920537897310514
144,0.915647921760391,0.91320293398533,0.903422982885086,0.915647921760391
145,0.914425427872861,0.920537897310514,0.911980440097799,0.91320293398533
146,0.919315403422983,0.921760391198044,0.908312958435208,0.916870415647922
147,0.914425427872861,0.919315403422983,0.916870415647922,0.920537897310514
148,0.914425427872861,0.914425427872861,0.907090464547677,0.921760391198044
149,0.909535452322738,0.911980440097799,0.909535452322738,0.921760391198044
